,,Gemiddeld,40% huishoudens,20% huishoudens
,,persoonlijk ,met laagste,met hoogste
,,inkomen,besteedbaar,besteedbaar
,,per inwoner,inkomen,inkomen
,,,,
,Regionaam,x 1000 euro,%,
,Wijk 07 Midwolde,30,21.3,28.7
,Wijk 08 Lettelbert,28.2,.,.
,Wijk 09 Oostwold,27.4,30,23
,Wijk 10 Enumatil,23.3,32.4,15.8
,Wijk 11 Marum,25.4,32.3,21
,Wijk 12 De Wilp,24.8,33.3,19.6
,Wijk 13,27.2,38.9,16.7
,Wijk 14,26.1,26.8,24.4
,Wijk 15,24,37.2,18.2
,Wijk 16,23.6,32.4,19
,Wijk 17,25.9,33.1,19.7
GM1970,Noardeast-Fryslân,21.8,41.2,14.2
,Dokkum,21.9,45.8,12.9
,Metslawier,22.1,33.6,16.9
,Ee - Zuidoost,21.6,38.6,14.1
,Anjum - Noordoost,22,39.9,14.8
,Oosternijkerk - Noordwest,21.7,32.7,18.1
,Ternaard,21.3,44,11.8
,Holwerd,21.2,42.1,13
,Hantum,21.7,34.6,18.6
,Wijk 08 Bouwstreek,21.2,42.5,12.2
,Wijk 09 Zuidwest,22.2,36.9,15.5
,Wijk 10,23.5,33.2,19.8
,Wijk 11 Kollum,22.1,43.4,13.7
,Wijk 12 Oost,22.4,40.8,14.7
,Wijk 13 Noordwest,22.5,30.1,19.3
,Wijk 14 Zuidwest,20.8,38.1,14.8
GM1978,Molenlanden,26.4,28,28.3
,Wijk01-Arkel,26,35.2,21.4
,Wijk02-Bleskensgraaf ca,26,27.6,29.4
,Wijk03-Brandwijk,26.6,26.4,31.9
,Wijk04-Giessenburg,28.7,22.9,32
,Wijk05-Goudriaan,27.4,23.4,33.1
,Wijk06-Groot-Ammers,26.6,27.9,27.3
,Wijk07-Hoogblokland,28.3,23.2,29.6
,Wijk08-Hoornaar,27.6,24.2,30.9
,Wijk09-Kinderdijk,27.3,25.2,25.8
,Wijk10-Langerak,25.8,29.7,27.8
,Wijk11-Molenaarsgraaf,26.2,23.2,31.5
,Wijk12-Nieuw-Lekkerland,23.2,32.1,23.3
,Wijk13-Nieuwpoort,26.5,39.6,18.3
,Wijk14-Noordeloos,27.7,24.6,33.8
,Wijk15-Ottoland,27,23.1,37.7
,Wijk16-Oud-Alblas,28.9,22.7,38.8
,Wijk17-Schelluinen,28.8,23.5,28.3
,Wijk18-Streefkerk,26.7,28.8,31
,Wijk19-Waal,29.4,.,.
,Wijk20-Wijngaarden,26.5,23.3,35.9
GM1979,Eemsdelta,23.5,45.2,12.9
,Delfzijl-Centrum,22.7,73.7,3.2
,West,25.2,42.7,11
,Farmsum,24.7,47.7,13.2
,Tuikwerd,21.1,47.8,11.4
,Fivelzigt,27.4,19.7,21.1
,Noord,19.5,59.7,6.2
,Buitengebied Noord-Bierum,25.4,33,17.7
,Oosterhorn,.,.,.
,Buitengebied Zuid-Termunten,24.8,35.3,16
,Tussengebied,.,.,.
,Appingedam-Centrum,25.2,59.4,9.8
,Appingedam-Oost,20,55.2,7.2
,Appingedam-West,25.3,29.9,19.6
,Buitengebied Noord-Appingedam,28.8,.,.
,Buitengebied Zuid-Appingedam,32.5,.,.
,Buitengebied Noord-Loppersum,25,39.4,17.2
,Buitengebied Noord-Stedum,24.5,34.1,16.2
,Buitengebied Noord-Middelstum,22.9,43,15.1
,Buitengebied Noord-'t Zandt,25.2,36.6,19
GM1980,Dijk en Waard,26.4,29.6,22.5
,Oudkarspel,27.6,28.2,25.6
,Noord-Scharwoude,25,35.7,18.1
,Zuid-Scharwoude,27.1,26.6,25.3
,Broek op Langedijk,27.8,26.3,29
,Sint-Pancras,27.2,25.8,27.4
,Koedijk,29.3,.,.
,Schrijverswijk,23.6,37.7,15.4
,Schilderswijk,22.9,29.8,14.8
,Planetenwijk,24.1,22.3,16.2
,Bomen- Recreatiewijk,24.6,35.3,16.5
,Heemradenwijk,26.7,32.1,15.2
,Edelstenenwijk,25.3,22.7,19.9
,Molenwijk,24.6,41.7,13.1
,Rivierenwijk,22,45.9,9.2
,Stadshart,25.2,59.7,4.7
,Broekhorn,34.7,14.8,37.6
,Bedrijventerrein Heerhugowaard,27.4,.,.
,Butterhuizen,27.7,27,25.6
,Oostertocht,26.7,31.7,22.9
,Zuidwijk,25.8,24.2,26.4
,Huygenhoek,27.4,17.1,33.6
,Stad van de Zon,28.2,21,29.8
,De Draai,28.7,9.3,36.3
,De Noord,30.1,22.6,33
,t Kruis,29.1,25,36.5
GM1982,Land van Cuijk,26.2,32.8,22.4
,Velp,28.2,21.2,34.8
,Grave,25.9,35.8,16.6
,Escharen,30.5,23.1,33.1
,Gassel,26,25.9,25.5
,Linden,28.7,23.9,33.9
,Katwijk,28.1,21.8,28.2
,Beers,28.8,26.4,28.2
,Cuijk,24.6,39.9,16.3
,Langenboom,26.5,27.2,28
,Mill,25,35,22.1
,Vianen,26.8,22.7,31
,Sint Agatha,30.7,20.9,32.3
,Haps,26.8,28,27.8
,Oeffelt,26,26.2,24.9
,Sint Hubert,26.2,33.2,25.5
,Wilbertoord,25.1,26,28
,Wanroij,26.3,29.2,27.9
,Rijkevoort,26.6,25.6,26.4
,Beugen,28.7,21.5,32
,Landhorst,26.1,24.9,28.2
,Ledeacker,29.1,19.7,34.9
,Boxmeer,26.2,39.4,17.8
,Sint Anthonis,27.5,31.2,25.3
,Sambeek,28.8,22.1,29.5
,Oploo,26.6,28.5,30.8
,Stevensbeek,26.6,25.9,28.4
,Vortum-Mullem,27.7,20.5,37.8
,Groeningen,25.4,16.9,31.3
,Westerbeek,25.7,22.4,26.5
,Overloon,27,28.8,26
,Vierlingsbeek,26.8,26.9,26.1
,Holthees,27.8,18.3,33.2
,Maashees,28.4,27.8,23.4
GM1991,Maashorst,26.4,34.4,22.3
,Uden,26.5,37,19.8
,Volkel,24.8,31.1,24.2
,Odiliapeel,26,29.8,28.2
,Schaijk,26.8,28.3,28.1
,Reek,27,29.2,27.5
,Zeeland,25.9,29.6,27.8
"Bron: CBS, Integraal Inkomens- en Vermogenssysteem (IIV)",,,,
